,spend,Impressions,leads,link_clicks,reach,Agency Tiers
410,24.06,951,1,11,886,4
411,32.22,1643,1,17,1572,4
412,48.51,2208,1,44,2050,4
413,16.24,702,1,8,654,4
414,64.29,2476,0,35,2310,4
415,32.5,2730,1,19,2621,4
416,32.44,1881,1,15,1785,4
417,32.71,1392,1,12,1351,4
418,64.91,2999,1,24,2862,4
419,24.13,726,1,9,705,4
420,6.53,361,0,1,321,4
421,32.61,845,0,5,747,4
422,63.8,2183,1,9,1965,4
423,23.71,800,1,7,733,4
424,6.94,261,0,6,242,4
425,55.62,2101,1,11,1917,4
426,64.92,2783,1,16,2497,4
427,7.15,272,1,4,249,4
428,83.71,4320,1,26,3989,4
429,98.85,4795,1,17,4667,4
430,15.93,781,1,2,757,4
431,31.83,1420,0,9,1312,4
432,63.42,2252,1,14,2122,4
433,15.61,839,1,14,802,4
434,62.67,3591,1,38,3429,4
435,15.41,553,0,2,547,4
436,32.14,1872,1,19,1743,4
437,0.0,0,0,0,0,4
438,7.12,440,0,3,365,4
439,32.45,1451,1,13,1362,4
440,15.89,635,0,9,604,4
441,7.03,248,0,3,235,4
442,30.15,1138,1,10,1098,4
443,66.11,2416,1,18,2222,4
444,68.41,3801,1,31,3608,4
445,29.58,1412,1,2,1316,4
446,30.12,1471,1,10,1420,4
447,32.35,1455,1,16,1406,4
448,47.46,2306,1,18,2174,4
449,32.7,1378,1,12,1318,4
450,62.93,2735,1,33,2644,4
451,65.7,2948,1,18,2717,4
452,48.79,2351,1,16,2236,4
453,31.27,2192,0,9,2083,4
454,48.06,1816,1,24,1516,4
455,32.7,1845,1,15,1657,4
456,49.49,2374,1,23,2310,4
457,62.2,2642,1,28,2498,4
458,48.96,2391,1,25,2318,4
459,6.81,295,0,3,284,4
460,15.99,912,1,11,888,4
461,6.78,197,0,1,188,4
462,63.51,3019,1,34,2844,4
463,32.47,2014,0,7,1880,4
464,60.97,2133,0,12,2028,4
465,65.23,3033,1,19,2829,4
466,31.48,1414,1,11,1361,4
467,50.99,2430,1,24,2331,4
468,48.3,1933,1,20,1769,4
469,63.51,2303,0,12,2145,4
470,65.28,2583,1,16,2360,4
471,6.84,235,0,1,216,4
472,65.65,3705,1,32,3453,4
473,64.96,2739,1,23,2512,4
474,24.95,1051,1,10,979,4
475,31.67,1127,1,9,1090,4
476,49.24,2309,1,19,2170,4
477,8.81,503,1,3,494,4
478,32.89,1176,1,11,1116,4
479,50.72,1847,1,15,1769,4
480,66.14,2902,1,41,2748,4
481,7.23,291,0,3,280,4
482,51.53,2185,1,25,2059,4
483,98.12,3858,1,24,3670,4
484,32.57,1484,1,20,1403,4
485,38.79,2093,1,27,1914,4
486,64.98,3392,1,22,3166,4
487,64.4,2961,1,29,2759,4
488,61.86,3103,1,36,2915,4
489,52.78,2674,1,22,2493,4
490,65.76,2721,0,14,2595,4
491,39.75,1318,0,7,1248,4
492,32.26,2078,1,14,1936,4
493,44.03,1284,0,7,1210,4
494,59.32,4223,1,35,3646,4
495,65.4,2368,1,26,2167,4
496,3.23,134,0,3,131,4
497,58.83,2314,1,27,2123,4
498,31.77,1925,1,15,1825,4
499,7.13,494,0,1,450,4
500,40.52,1328,1,9,1199,4
501,32.34,1164,0,15,1125,4
502,32.07,1175,1,17,1134,4
503,40.39,2139,1,23,1940,4
504,37.32,1725,1,18,1576,4
505,32.89,2375,1,38,2244,4
506,31.23,1367,1,11,1288,4
507,15.4,890,1,17,857,4
508,64.01,2507,1,19,2209,4
509,15.44,569,0,8,538,4
510,50.06,2039,1,17,1798,4
511,31.71,1413,1,11,1346,4
512,65.34,2836,1,15,2667,4
513,32.49,2329,1,13,2233,4
514,47.78,2330,1,39,2111,4
515,16.16,1114,1,12,1057,4
516,23.4,934,1,5,882,4
517,32.59,1400,1,15,1298,4
518,40.82,1638,1,9,1571,4
519,73.53,3020,1,20,2733,4
520,47.66,1514,1,16,1371,4
521,65.48,4675,1,30,4470,4
522,6.95,487,1,2,461,4
523,32.09,1307,1,14,1271,4
524,34.52,1647,1,14,1580,4
525,52.71,2489,1,17,2318,4
526,83.39,5572,1,42,5172,4
527,16.01,589,1,6,569,4
528,23.19,901,0,5,833,4
529,56.77,2336,1,33,2184,4
530,64.61,2926,1,34,2690,4
531,56.63,2018,0,12,1832,4
532,49.74,1577,1,10,1387,4
533,64.48,2808,1,28,2588,4
534,43.1,1854,1,23,1663,4
535,31.74,1311,1,15,1229,4
536,63.78,3787,1,36,3588,4
537,65.36,3530,1,20,3328,4
538,40.41,1964,1,14,1872,4
539,63.97,2467,0,25,2254,4
540,47.55,2413,1,26,2254,4
541,98.25,4391,1,17,4238,4
542,64.23,3712,1,16,3512,4
543,48.44,1935,1,12,1751,4
544,15.29,565,1,6,551,4
545,48.39,1212,1,11,801,4
546,63.91,3003,1,22,2637,4
547,31.63,2044,1,17,1985,4
548,59.43,3137,1,19,3020,4
549,23.78,724,0,9,663,4
550,41.38,1513,1,10,1421,4
551,46.85,1606,1,18,1381,4
552,6.74,199,1,2,186,4
553,63.41,2087,1,13,2001,4
554,49.77,3434,1,32,3230,4
555,64.85,2925,1,12,2754,4
556,32.3,2262,1,13,2069,4
557,98.0,5079,1,22,4931,4
558,31.49,1174,1,15,1099,4
559,24.78,1775,1,9,1735,4
560,32.51,1266,1,16,1214,4
561,49.12,2471,1,21,2327,4
562,53.07,2263,1,26,2090,4
563,96.14,3635,1,18,3461,4
564,7.0,296,0,3,285,4
565,48.73,2015,1,21,1950,4
566,48.79,2127,1,19,2054,4
567,8.17,784,0,3,728,4
568,31.87,2097,1,32,2017,4
569,16.23,796,1,6,764,4
570,15.7,657,1,8,642,4
571,32.39,1506,1,15,1446,4
572,63.26,3600,1,27,3458,4
573,31.81,980,0,7,939,4
574,67.15,2714,1,25,2509,4
575,94.8,4602,1,9,4389,4
576,40.96,1308,1,10,1183,4
577,32.29,1496,1,10,1304,4
578,65.32,2874,1,19,2603,4
579,47.76,2407,0,10,2226,4
580,32.03,1056,1,5,1007,4
581,66.95,3070,1,28,2913,4
582,36.76,1086,1,14,1037,4
583,64.45,3055,1,23,2817,4
584,15.73,614,1,7,605,4
585,47.35,2532,1,23,2449,4
586,48.42,1925,0,13,1754,4
587,60.46,3398,1,48,3084,4
588,31.94,1766,1,15,1679,4
589,40.66,1151,0,9,1053,4
590,16.18,705,1,13,668,4
591,98.38,4246,1,35,3947,4
592,32.15,2051,1,14,1974,4
593,15.71,663,1,8,643,4
594,50.22,2710,1,34,2465,4
595,63.6,2407,1,15,2228,4
596,47.38,2026,1,25,1915,4
597,7.07,277,0,2,258,4
598,6.57,208,0,1,194,4
599,33.03,1779,1,12,1644,4
600,32.5,2490,1,25,2321,4
601,41.61,2098,1,21,1906,4
602,65.18,2746,1,17,2612,4
603,32.0,1591,1,24,1424,4
604,49.31,3014,1,34,2872,4
605,16.47,624,1,5,577,4
606,75.62,3086,1,34,2788,4
607,32.43,1443,1,14,1388,4
608,65.41,3588,1,28,3413,4
609,24.27,1100,0,8,998,4
610,40.96,1764,1,22,1661,4
611,73.72,2870,1,31,2646,4
612,8.39,569,0,6,542,4
613,73.99,3320,0,21,3113,4
614,32.17,1653,1,15,1559,4
615,7.97,1262,0,0,1147,4
616,16.39,620,1,5,604,4
617,7.24,355,1,6,337,4
618,39.63,2299,1,11,2077,4
619,49.5,2095,1,32,1956,4
620,15.08,641,1,7,615,4
621,64.62,2818,1,13,2682,4
622,6.98,298,1,5,283,4
623,24.48,1263,0,6,1217,4
624,54.84,3243,1,31,3005,4
625,24.81,1019,1,8,998,4
626,7.23,232,1,4,220,4
627,66.86,3180,1,16,3043,4
628,23.78,896,0,9,823,4
629,40.02,1832,1,30,1665,4
630,31.96,1592,1,22,1408,4
631,35.04,862,1,9,777,4
632,40.42,1800,1,13,1700,4
633,65.14,2786,1,22,2589,4
634,40.72,1540,1,5,1399,4
635,42.12,1868,1,18,1751,4
636,7.2,320,0,1,302,4
637,31.91,1239,1,10,1183,4
638,23.76,860,1,11,802,4
639,44.55,1736,0,18,1542,4
640,16.03,747,1,7,736,4
641,24.83,1479,1,14,1403,4
642,74.17,3506,1,30,3287,4
643,38.34,2230,1,15,2003,4
644,32.89,1788,1,11,1611,4
645,66.23,4261,1,38,4090,4
646,15.52,903,0,4,856,4
647,39.52,2227,1,18,1946,4
648,31.97,2533,1,15,2419,4
649,16.31,544,0,3,525,4
650,56.4,2706,1,35,2576,4
