"state","brand","spend","impressions","leads","link_clicks","reach","agency"
"CA","B2",16.19,568,3,8,551,"Agency 2"
"CA","B2",30.01,995,1,6,977,"Agency 2"
"CA","B2",2.17,90,0,0,87,"Agency 3"
"CA","B2",24.68,1072,1,7,997,"Agency 2"
"CA","B2",49.41,2051,2,16,1900,"Agency 2"
"CA","B2",37.19,1810,2,16,1674,"Agency 2"
"CA","B2",23.99,1250,1,12,1148,"Agency 2"
"CA","B2",32.08,1379,0,16,1258,"Agency 5"
"CA","B2",16.24,768,3,21,748,"Agency 2"
"CA","B2",54.25,2322,9,39,2248,"Agency 2"
"CA","B2",32.96,1256,1,12,1193,"Agency 3"
"CA","B2",55.01,1678,0,6,1431,"Agency 7"
"CA","B2",99.25,4594,8,21,4397,"Agency 2"
"CA","B2",40.9,1296,1,16,1205,"Agency 2"
"CA","B2",2.04,233,0,0,227,"Agency 3"
"CA","B2",32.25,1517,1,12,1429,"Agency 5"
"CA","B2",59.17,2150,0,25,1977,"Agency 2"
"CA","B2",32.02,1175,1,7,1122,"Agency 3"
"CA","B2",48.71,1967,2,25,1802,"Agency 2"
"CA","B2",6.85,283,0,3,267,"Agency 2"
"CA","B2",7.13,326,1,5,315,"Agency 2"
"CA","B2",41.66,1481,0,21,1397,"Agency 2"
"CA","B2",1.97,254,0,0,251,"Agency 3"
"CA","B2",48.44,1919,0,8,1824,"Agency 2"
"CA","B2",32.25,1880,3,17,1825,"Agency 3"
"CA","B2",5.59,234,0,3,234,"Agency 3"
"CA","B2",14.78,1060,0,5,1030,"Agency 3"
"CA","B2",2.03,543,0,0,528,"Agency 3"
"CA","B2",17.81,1180,0,4,1141,"Agency 3"
"CA","B2",12.46,543,1,1,528,"Agency 3"
"CA","B2",24.05,872,1,11,849,"Agency 3"
"CA","B2",3.12,845,0,2,793,"Agency 3"
"CA","B2",2.05,204,0,0,200,"Agency 3"
"CA","B2",20.58,787,1,6,739,"Agency 3"
"CA","B2",32.84,1390,4,26,1328,"Agency 5"
"CA","B2",31.31,1205,2,9,1130,"Agency 5"
"CA","B2",48.82,2738,2,21,2577,"Agency 2"
"CA","B2",66.4,2488,1,31,2310,"Agency 2"
"CA","B2",32.36,1035,2,20,1003,"Agency 3"
"CA","B2",32.32,997,0,9,928,"Agency 2"
"CA","B2",18.09,1498,2,5,1459,"Agency 3"
"CA","B2",38,1243,5,11,1081,"Agency 7"
"CA","B2",63.65,3855,5,44,3626,"Agency 2"
"CA","B2",32.02,1186,1,8,1133,"Agency 2"
"CA","B2",4.9,171,0,3,162,"Agency 3"
"CA","B2",24.08,978,0,6,947,"Agency 3"
"CA","B2",18.72,878,2,12,863,"Agency 3"
"CA","B2",31.74,1001,2,6,927,"Agency 2"
"CA","B2",15.93,1320,2,39,1266,"Agency 3"
"CA","B2",65.41,2663,3,19,2438,"Agency 2"
"CA","B2",35.17,1002,2,20,937,"Agency 2"
"CA","B2",65.09,2327,1,19,2173,"Agency 2"
"CA","B2",48.88,2421,2,25,2328,"Agency 2"
"CA","B2",63.99,3582,3,33,3405,"Agency 2"
"CA","B2",32.76,1787,2,24,1716,"Agency 5"
"CA","B2",56.58,1944,0,17,1727,"Agency 2"
"CA","B2",32.73,728,1,15,681,"Agency 3"
"CA","B2",16.32,851,1,7,801,"Agency 2"
"CA","B2",32.57,1735,1,10,1670,"Agency 5"
"CA","B2",37.65,2085,3,15,1943,"Agency 3"
"CA","B2",15.52,741,4,17,723,"Agency 2"
"CA","B2",7.18,215,0,1,201,"Agency 2"
"CA","B2",24.64,570,0,4,527,"Agency 3"
"CA","B2",65.37,2674,0,29,2431,"Agency 2"
"CA","B2",96.71,3923,4,18,3775,"Agency 2"
"CA","B2",6.73,227,0,4,223,"Agency 2"
"CA","B2",7.13,398,1,5,369,"Agency 2"
"CA","B2",40.63,1360,0,17,1243,"Agency 2"
"CA","B2",39.53,1181,1,9,1079,"Agency 7"
"CA","B2",16.31,654,3,8,638,"Agency 2"
"CA","B2",0,0,0,0,0,"Agency 3"
"CA","B2",7.8,540,0,3,518,"Agency 4"
"CA","B2",32.79,1059,1,18,1028,"Agency 3"
"CA","B2",34.37,2609,0,10,2562,"Agency 3"
"CA","B2",35.66,1212,5,14,1162,"Agency 2"
"CA","B2",64.81,3023,4,17,2919,"Agency 2"
"CA","B2",50.32,1842,4,28,1684,"Agency 2"
"CA","B2",63.85,2726,4,13,2575,"Agency 2"
"CA","B2",14.85,820,1,10,799,"Agency 3"
"CA","B2",49.79,2347,0,11,2219,"Agency 2"
"CA","B2",10.8,470,0,3,448,"Agency 3"
"CA","B2",61.21,2824,2,33,2595,"Agency 2"
"CA","B2",30.79,2628,1,18,2498,"Agency 3"
"CA","B2",0.94,229,0,1,207,"Agency 3"
"CA","B2",34.76,2386,2,85,2132,"Agency 3"
"CA","B2",40.47,1430,0,23,1331,"Agency 2"
"CA","B2",67.17,3059,1,32,2705,"Agency 2"
"CA","B2",26.97,1197,0,2,1163,"Agency 3"
"CA","B2",41.72,1426,2,14,1335,"Agency 2"
"CA","B2",15.83,571,1,5,505,"Agency 3"
"CA","B2",15.97,1073,0,12,987,"Agency 7"
"CA","B2",41.55,1931,2,25,1819,"Agency 2"
"CA","B2",5.24,146,0,0,145,"Agency 3"
"CA","B2",49.32,2782,6,31,2696,"Agency 2"
"CA","B2",24.68,1452,3,11,1404,"Agency 2"
"CA","B2",55.37,2841,0,8,2745,"Agency 2"
"CA","B2",61.56,2189,4,26,2000,"Agency 7"
"CA","B2",12.24,675,0,2,654,"Agency 3"
"CA","B2",52.66,2034,6,17,1851,"Agency 7"
"CA","B2",53.25,1926,1,13,1657,"Agency 7"
"CA","B2",12.34,546,1,4,522,"Agency 3"
"CA","B2",0,0,0,0,0,"Agency 3"
"CA","B2",10.92,546,0,6,525,"Agency 3"
"CA","B2",50.88,2120,3,8,1954,"Agency 7"
"CA","B2",32.29,2294,2,11,2169,"Agency 2"
"CA","B2",32.99,1320,1,11,1253,"Agency 2"
"CA","B2",16.45,480,1,7,461,"Agency 3"
"CA","B2",4.44,400,0,0,400,"Agency 3"
"CA","B2",23.97,861,1,6,814,"Agency 2"
"CA","B2",10.81,473,0,3,449,"Agency 3"
"CA","B2",10.56,249,0,3,239,"Agency 3"
"CA","B2",32.27,1474,0,1,1446,"Agency 3"
"CA","B2",77.55,4068,1,20,3561,"Agency 7"
"CA","B2",32.51,1701,3,11,1596,"Agency 2"
"CA","B2",7.24,540,0,3,508,"Agency 2"
"CA","B2",1.94,174,0,0,168,"Agency 3"
"CA","B2",24.18,1259,0,16,1228,"Agency 3"
"CA","B2",65.09,3424,6,26,3224,"Agency 2"
"CA","B2",11.21,527,1,3,513,"Agency 3"
"CA","B2",35.81,1881,2,14,1784,"Agency 7"
"CA","B2",31.68,1919,3,23,1872,"Agency 2"
"CA","B2",40.63,1842,3,15,1727,"Agency 2"
"CA","B2",2.97,715,0,0,665,"Agency 3"
"CA","B2",16.08,640,0,4,581,"Agency 2"
"CA","B2",10.58,849,0,11,784,"Agency 7"
"CA","B2",35.31,1543,0,15,1399,"Agency 7"
"CA","B2",41.75,1750,4,21,1594,"Agency 2"
"CA","B2",32.38,1718,6,17,1568,"Agency 2"
"CA","B2",48.52,2334,4,19,2147,"Agency 2"
"CA","B2",50.83,2167,3,17,2016,"Agency 2"
"CA","B2",1.96,255,0,0,248,"Agency 3"
