"state","brand","spend","impressions","leads","link_clicks","reach","agency"
"IL","B3",23.65,960,0,3,795,"Agency 2"
"OH","B3",64.31,3595,3,24,3350,"Agency 2"
"OH","B3",24,934,0,6,869,"Agency 2"
"WA","B3",24.35,768,0,7,694,"Agency 3"
"WA","B3",31.36,1434,2,6,1385,"Agency 3"
"CA","B3",32.22,1450,0,9,1405,"Agency 3"
"VA","B3",39.58,2156,2,5,2120,"Agency 8"
"FL","B3",30.44,1309,0,12,1257,"Agency 3"
"OH","B3",0,0,0,0,0,"Agency 2"
"NC","B3",54.27,1861,3,20,1661,"Agency 3"
"NC","B3",31.11,1384,2,13,1347,"Agency 3"
"VA","B3",13.52,725,4,10,681,"Agency 3"
"CA","B3",20.74,898,0,5,872,"Agency 3"
"TN","B3",0,0,0,0,0,"Agency 4"
"CO","B3",17.38,698,3,14,624,"Agency 3"
"TN","B3",51.39,1823,0,20,1705,"Agency 2"
"FL","B3",62.31,3404,3,14,3074,"Agency 3"
"MD","B3",37.07,1643,1,16,1579,"Agency 8"
"FL","B3",33.33,1672,4,21,1621,"Agency 8"
"OK","B3",36.37,1907,1,13,1759,"Agency 2"
"CA","B3",9.95,396,0,0,364,"Agency 3"
"CO","B3",32.79,989,1,5,886,"Agency 6"
"TX","B3",16.09,555,1,7,524,"Agency 3"
"CA","B3",47.85,1601,0,10,1445,"Agency 2"
"CT","B3",9.15,246,0,4,221,"Agency 6"
"MI","B3",10.72,454,0,2,399,"Agency 4"
"CA","B3",52.04,2436,12,30,2346,"Agency 3"
"TX","B3",31.73,881,1,9,843,"Agency 3"
"CA","B3",45.43,2323,13,29,2170,"Agency 3"
"CA","B3",70.43,2946,5,18,2619,"Agency 2"
"NJ","B3",33.73,1783,5,28,1736,"Agency 3"
"CO","B3",32.19,2235,1,15,2149,"Agency 2"
"CA","B3",64.94,3244,2,42,3180,"Agency 8"
"NY","B3",64.32,3061,1,9,2862,"Agency 2"
"CA","B3",45.84,2723,2,25,2568,"Agency 2"
"CA","B3",27.81,1079,1,8,1045,"Agency 2"
"CA","B3",52.3,2218,2,10,2188,"Agency 8"
"CA","B3",24.34,767,1,6,702,"Agency 2"
"VA","B3",51.32,3084,3,11,2923,"Agency 8"
"CO","B3",33.55,974,0,2,922,"Agency 2"
"MO","B3",39.63,2693,1,12,2608,"Agency 8"
"CO","B3",33.37,1001,0,12,883,"Agency 6"
"CA","B3",47.53,1286,2,7,1143,"Agency 2"
"NE","B3",77.23,3900,7,42,3689,"Agency 2"
"CA","B3",49.1,1783,3,17,1706,"Agency 3"
"VA","B3",24.29,1108,1,5,1062,"Agency 3"
"CA","B3",39.29,2408,2,13,2317,"Agency 3"
"FL","B3",34.42,1625,2,34,1586,"Agency 8"
"MO","B3",50.6,2628,2,40,2550,"Agency 8"
"CA","B3",47.59,2198,0,11,2073,"Agency 2"
"VA","B3",24.44,950,1,6,906,"Agency 3"
"FL","B3",34.61,1959,5,14,1859,"Agency 3"
"CO","B3",8.6,193,0,2,189,"Agency 3"
"OH","B3",30.24,1426,3,16,1355,"Agency 2"
"IL","B3",20.65,735,0,5,631,"Agency 2"
"MN","B3",8.86,366,0,6,351,"Agency 3"
"VA","B3",49.16,1548,3,12,1478,"Agency 3"
"MA","B3",0,0,0,0,0,"Agency 3"
"TX","B3",0,0,0,0,0,"Agency 3"
"TN","B3",18.71,812,1,1,777,"Agency 4"
"VA","B3",8.94,289,0,2,280,"Agency 3"
"OH","B3",23.41,1182,1,5,1018,"Agency 2"
"TX","B3",19.52,896,0,13,854,"Agency 2"
"CA","B3",47.02,1421,0,25,1393,"Agency 8"
"VA","B3",33.77,1742,0,26,1666,"Agency 8"
"CA","B3",23.21,1090,0,9,1052,"Agency 3"
"TX","B3",28.42,1034,1,10,998,"Agency 3"
"MA","B3",40.67,2744,5,14,2689,"Agency 3"
"NJ","B3",42.25,1626,1,12,1463,"Agency 2"
"CO","B3",49.57,2033,1,18,1871,"Agency 3"
"NE","B3",57.38,2311,0,22,2032,"Agency 2"
"VA","B3",33.62,1908,0,7,1849,"Agency 3"
"NY","B3",64.24,2544,2,10,2441,"Agency 2"
