,spend,Impressions,leads,link_clicks,reach,Agency Tiers
573,32.42,1328,1,5,1230,
574,42.39,1401,1,10,1322,
575,31.76,2418,1,23,2293,
576,64.73,2914,1,17,2619,
577,48.67,2033,1,12,1893,
578,17.43,829,0,9,772,
579,16.12,658,1,13,615,
580,64.85,3546,1,33,3352,
581,48.77,1798,0,6,1698,
582,41.64,2751,1,70,2532,
583,32.19,2053,1,15,1963,
584,32.54,1469,1,15,1388,
585,31.9,1327,1,14,1261,
586,62.78,4349,1,16,4214,
587,32.08,986,1,8,930,
588,24.1,951,1,5,895,
589,19.18,1140,1,7,1087,
590,32.69,2119,1,16,1936,
591,34.25,2279,0,6,1980,
592,50.29,2496,1,24,2365,
593,49.6,1606,1,8,1479,
594,41.26,1764,1,22,1625,
595,0.0,0,0,0,0,
596,25.39,1085,0,7,979,
597,62.59,2063,1,17,1937,
598,31.98,1478,1,14,1427,
599,66.27,3021,1,41,2884,
600,49.74,2535,1,17,2386,
601,31.88,2476,1,13,2293,
602,31.03,1702,1,17,1604,
603,32.46,1198,1,6,1146,
604,32.2,2271,1,33,2173,
605,23.62,1336,1,9,1247,
606,31.77,821,0,5,690,
607,31.57,1190,1,9,1041,
608,49.42,1647,0,7,1489,
609,31.66,1380,0,8,1258,
610,47.3,1424,1,12,1277,
611,31.43,1377,1,7,1247,
612,49.77,2570,1,12,2375,
613,65.38,3881,1,31,3703,
614,31.72,1607,1,9,1484,
615,41.68,1829,0,14,1659,
616,40.69,1307,1,10,1198,
617,24.02,1018,1,9,949,
618,19.27,748,1,6,707,
619,24.11,1583,0,7,1528,
620,15.89,644,1,2,600,
621,31.37,1603,0,3,1475,
622,47.91,2780,0,16,2632,
623,16.14,915,1,14,865,
624,31.06,1397,0,15,1313,
625,41.45,1206,0,14,1105,
626,33.01,1388,1,16,1286,
627,32.11,2197,1,23,2146,
628,16.16,644,0,5,585,
629,31.86,1797,1,15,1646,
630,30.27,1311,1,8,1205,
631,48.61,2382,0,7,2217,
632,7.09,311,0,5,296,
633,88.13,3717,0,12,3280,
634,14.89,587,0,10,509,
635,48.1,2479,1,15,2304,
636,40.44,2116,1,12,1815,
637,36.41,1228,1,14,1083,
638,6.84,283,0,2,277,
639,7.42,265,1,2,255,
640,24.76,1530,1,12,1482,
641,0.0,0,0,0,0,
642,49.62,2706,1,22,2578,
643,48.86,2336,1,10,2165,
644,62.0,1628,1,10,1473,
645,64.78,3502,1,25,3386,
646,47.8,1215,0,17,1012,
647,61.83,2093,1,6,1974,
648,32.76,1236,1,7,1151,
649,50.29,1712,1,22,1638,
650,15.97,1026,1,11,985,
651,31.52,2014,1,10,1880,
652,48.39,1657,1,11,1566,
653,64.58,1609,1,15,1409,
654,49.31,2089,1,14,1981,
655,32.47,2175,1,17,2086,
656,31.87,1384,1,8,1249,
657,63.49,2995,1,13,2841,
658,15.65,810,1,11,774,
659,50.38,1861,0,10,1662,
660,40.85,1558,1,10,1474,
661,56.62,3240,1,30,2913,
662,32.27,1364,1,12,1257,
663,48.77,2209,1,10,2004,
664,6.82,612,0,5,492,
665,64.66,2645,1,49,2197,
666,41.89,2035,1,29,1901,
667,25.59,958,0,11,892,
668,32.34,1651,1,22,1568,
669,48.71,2710,1,9,2473,
670,31.37,1773,1,24,1604,
671,16.36,926,1,4,885,
672,32.21,1454,1,9,1379,
673,39.65,1955,1,22,1782,
674,55.72,2411,1,10,2213,
675,36.45,1826,1,12,1667,
676,24.92,1216,1,15,1118,
677,33.06,2558,1,26,2460,
678,31.37,2332,1,6,2229,
679,50.51,1410,0,15,1322,
680,48.44,1801,1,21,1567,
681,31.69,2184,1,21,2047,
682,24.47,1386,1,11,1309,
683,40.32,2426,1,35,2138,
684,40.74,2084,1,19,1973,
685,65.63,2773,1,23,2572,
686,57.01,2464,1,24,2256,
687,17.05,1013,1,8,957,
688,6.92,289,0,3,275,
689,31.61,1255,1,13,1203,
