"state","brand","spend","impressions","leads","link_clicks","reach","agency"
"CA","B2",35.54,1319,2,18,1282,"Agency 3"
"CA","B2",0,0,0,0,0,"Agency 5"
"IL","B2",33.06,1199,1,6,1065,"Agency 2"
"TX","B2",0,0,0,0,0,"Agency 3"
"CA","B2",11.5,414,0,1,398,"Agency 3"
"CA","B2",58.24,2141,2,11,1918,"Agency 7"
"WA","B2",49.02,2256,3,15,2113,"Agency 2"
"CA","B2",46,1530,1,19,1315,"Agency 5"
"WA","B2",48.47,2262,2,7,2165,"Agency 2"
"TN","B2",28.61,1750,2,5,1689,"Agency 3"
"CA","B2",63.31,3015,1,17,2832,"Agency 2"
"FL","B2",34.25,1320,0,10,1244,"Agency 3"
"TN","B2",30.37,1303,3,9,1230,"Agency 3"
"CA","B2",32.57,1519,1,16,1438,"Agency 2"
"FL","B2",39.77,1311,0,9,1220,"Agency 2"
"CA","B2",24.01,763,1,6,708,"Agency 2"
"OH","B2",55.94,2560,0,14,2331,"Agency 3"
"TN","B2",16.81,536,0,4,519,"Agency 3"
"UT","B2",48.99,2500,8,22,2335,"Agency 2"
"TX","B2",47.38,2277,0,11,2156,"Agency 3"
"FL","B2",44.02,2061,2,31,1910,"Agency 2"
"TX","B2",8.7,945,0,1,647,"Agency 3"
"MN","B2",26.03,1080,0,5,992,"Agency 3"
"PA","B2",46.11,2426,5,16,2313,"Agency 2"
"FL","B2",15.91,887,4,11,845,"Agency 2"
"MN","B2",29.1,1777,1,8,1682,"Agency 3"
"UT","B2",49.13,2679,1,9,2466,"Agency 2"
"MO","B2",7.54,295,1,2,286,"Agency 3"
"ID","B2",32.24,1375,1,7,1221,"Agency 5"
"CA","B2",8.49,310,1,2,306,"Agency 3"
"UT","B2",17.22,899,1,12,875,"Agency 4"
"CA","B2",15.87,679,0,3,644,"Agency 4"
"AZ","B2",49.29,2154,2,12,1979,"Agency 2"
"CA","B2",37.58,2402,0,16,2311,"Agency 3"
"NC","B2",35.41,2011,4,19,1931,"Agency 3"
"NC","B2",32.12,1437,3,14,1384,"Agency 3"
"TX","B2",20.2,934,3,5,871,"Agency 3"
"TX","B2",31.48,1609,1,14,1560,"Agency 3"
"PA","B2",42.82,1910,2,16,1741,"Agency 2"
"OR","B2",50.37,2418,4,13,2111,"Agency 5"
"TX","B2",13.42,681,0,5,656,"Agency 3"
"TN","B2",2.19,85,0,0,79,"Agency 3"
"FL","B2",26.75,1049,3,12,990,"Agency 3"
"CA","B2",29.65,1290,0,3,1269,"Agency 3"
"WA","B2",31.77,1016,1,8,901,"Agency 2"
"IA","B2",48.92,2968,7,21,2700,"Agency 3"
"NC","B2",34.34,1731,2,9,1651,"Agency 3"
"CA","B2",37.14,1687,3,20,1537,"Agency 2"
"MD","B2",26.39,1210,3,14,1190,"Agency 3"
"NM","B2",85.3,3171,4,14,2807,"Agency 2"
"OK","B2",47.66,2495,4,12,2248,"Agency 2"
"PA","B2",93.39,3201,6,31,2970,"Agency 2"
"MO","B2",46.44,2477,3,17,2334,"Agency 3"
"CA","B2",31.8,1340,0,8,1264,"Agency 2"
"CA","B2",7.8,404,0,0,364,"Agency 2"
"CO","B2",12.16,569,0,1,531,"Agency 3"
"IL","B2",48.53,1446,2,6,1327,"Agency 5"
"IL","B2",46.62,3082,1,25,2944,"Agency 8"
"CA","B2",58.97,2372,4,20,2138,"Agency 7"
"CA","B2",55.66,1849,2,15,1674,"Agency 7"
"IL","B2",48.75,1534,2,10,1391,"Agency 5"
"IL","B2",36.24,1652,0,17,1535,"Agency 5"
"TX","B2",31.72,1038,1,3,934,"Agency 2"
"TN","B2",30.4,1836,2,8,1552,"Agency 3"
"CA","B2",1.99,117,0,0,111,"Agency 3"
"IL","B2",0,0,0,0,0,"Agency 3"
"MO","B2",35.94,2499,0,3,2359,"Agency 3"
"MO","B2",35.07,2095,4,24,1996,"Agency 3"
"FL","B2",36.13,1731,1,9,1665,"Agency 3"
"CA","B2",11.35,425,0,12,401,"Agency 3"
"VA","B2",30.4,1714,4,21,1606,"Agency 2"
"MI","B2",70.32,2621,2,28,2379,"Agency 3"
"NJ","B2",40.38,1751,1,8,1662,"Agency 3"
"FL","B2",63.98,3664,4,21,3467,"Agency 2"
"MN","B2",6.1,354,0,2,343,"Agency 3"
"NJ","B2",32.63,1877,2,15,1823,"Agency 3"
"NJ","B2",28.11,1691,1,14,1606,"Agency 3"
"IA","B2",47.08,1968,1,11,1840,"Agency 3"
"NJ","B2",39.8,2355,1,24,2258,"Agency 3"
"VA","B2",35.04,1461,0,12,1353,"Agency 2"
"NJ","B2",31.79,1484,4,9,1440,"Agency 3"
"FL","B2",28.15,1044,1,8,1000,"Agency 6"
"CA","B2",18.67,834,2,9,816,"Agency 3"
"TX","B2",31.54,1442,1,14,1311,"Agency 2"
"OK","B2",49.58,2203,0,13,2059,"Agency 2"
