,state,spend,Impressions,leads,link_clicks,reach,Agency Tiers
29571,MN,8.03,358,0,3,338,
29572,MI,58.27,1530,1,16,1339,
29573,NC,28.68,1336,1,19,1264,
29574,CO,44.91,1423,0,4,1329,
29575,TX,47.09,2301,1,13,2198,
29576,TX,0.0,0,0,0,0,
29577,NJ,31.85,1394,0,2,1327,
29578,FL,48.66,2246,1,20,2110,
29579,VA,22.79,1005,1,11,973,
29580,VA,22.34,753,1,9,722,
29581,CT,49.91,2014,1,38,1814,
29582,MN,8.0,344,1,3,318,
29583,MN,8.05,358,0,0,342,
29584,CA,0.0,0,0,0,0,
29585,NJ,31.66,1645,1,9,1573,
29586,TX,47.21,2126,1,18,1995,
29587,TX,0.0,0,0,0,0,
29588,NC,81.92,3728,1,18,3517,
29589,CA,41.12,1697,1,8,1603,
29590,CA,25.4,1012,1,11,935,
29591,CA,25.48,928,1,6,854,
29592,TX,31.72,1712,1,23,1649,
29593,CA,40.63,1465,1,13,1401,
29594,VA,15.84,508,1,4,477,
29595,VA,15.66,372,0,3,342,
29596,FL,49.19,1553,1,32,1460,
29597,NY,13.42,500,1,4,487,
29598,CT,57.6,2151,1,11,2035,
29599,CT,0.0,0,0,0,0,
29600,VA,30.86,1496,1,6,1333,
29601,VA,0.0,0,0,0,0,
29602,TX,86.52,3581,1,49,3342,
29603,CO,13.11,319,0,5,311,
29604,CO,30.28,677,0,8,650,
29605,WA,31.63,1381,1,10,1265,
29606,WA,0.0,0,0,0,0,
29607,CO,15.49,615,1,6,602,
29608,CO,14.97,501,1,4,467,
29609,NC,28.69,1198,1,13,1147,
29610,SD,47.61,1925,1,15,1801,
29611,SD,0.0,0,0,0,0,
29612,VA,23.36,1074,0,2,1003,
29613,VA,0.0,0,0,0,0,
29614,VA,0.0,0,0,0,0,
29615,CO,9.86,214,0,4,205,
29616,CO,4.79,105,0,2,104,
29617,CO,28.61,931,1,4,872,
29618,CO,0.0,0,0,0,0,
29619,MN,8.06,372,1,2,353,
29620,MN,7.78,414,0,2,398,
29621,CO,15.78,797,1,6,776,
29622,CO,14.74,568,1,6,515,
29623,TX,0.0,0,0,0,0,
29624,TX,46.85,2708,1,23,2544,
29625,NC,28.48,1479,1,19,1401,
29626,WA,30.98,1235,1,14,1109,
29627,TX,10.01,427,1,8,416,
29628,VA,21.92,1279,1,8,1248,
29629,VA,22.18,971,1,21,932,
29630,CO,48.19,1165,1,7,1090,
29631,FL,47.32,1688,1,27,1566,
29632,TX,31.29,2036,1,15,1942,
29633,FL,46.65,2522,1,30,2296,
29634,CO,45.87,1149,0,15,1063,
29635,CA,0.0,0,0,0,0,
29636,NY,2.33,65,0,0,64,
29637,NY,1.7,58,0,2,58,
29638,NY,0.0,0,0,0,0,
29639,VA,13.38,465,1,7,451,
29640,VA,12.66,536,0,6,520,
29641,VA,0.0,0,0,0,0,
29642,VA,31.15,1840,1,5,1621,
29643,VA,0.0,0,0,0,0,
29644,SD,48.63,2363,1,17,2146,
29645,VA,15.89,639,1,4,581,
29646,VA,16.24,583,0,7,542,
29647,CT,49.8,2145,1,50,1896,
29648,CA,39.06,1888,1,10,1765,
29649,NJ,31.26,1955,1,11,1860,
29650,MI,8.82,429,1,5,427,
29651,CA,40.57,1633,1,12,1556,
29652,CA,25.74,1119,1,12,1051,
29653,CA,25.73,1067,0,3,974,
29654,CT,56.97,2625,1,17,2516,
29655,VA,32.13,2003,1,11,1796,
29656,VA,0.0,0,0,0,0,
29657,SD,48.41,2493,1,30,2256,
29658,SD,0.0,0,0,0,0,
29659,TX,32.1,1963,1,21,1883,
29660,FL,49.14,1760,1,20,1640,
29661,CO,15.94,866,0,4,836,
29662,CO,14.61,482,1,5,447,
29663,CO,48.41,1547,1,10,1415,
29664,CT,50.51,2408,1,41,2161,
29665,FL,49.29,2568,1,33,2342,
29666,VA,24.11,1119,1,18,1056,
29667,VA,0.0,0,0,0,0,
29668,MI,23.99,1018,1,3,982,
29669,MI,0.0,0,0,0,0,
29670,MI,6.0,250,0,1,244,
29671,VA,22.37,1621,1,7,1595,
29672,VA,22.43,1096,1,16,1057,
29673,NC,28.93,1533,1,23,1450,
29674,CA,25.93,1251,1,13,1149,
29675,CA,26.52,1078,0,2,993,
29676,TX,48.25,3310,1,21,3127,
29677,TX,0.0,0,0,0,0,
29678,TX,73.56,3037,1,43,2761,
29679,CO,46.69,1420,0,6,1333,
29680,CO,0.0,0,0,0,0,
29681,NY,11.32,553,0,1,510,
29682,NY,10.02,413,0,4,401,
29683,NJ,32.48,2126,1,5,1960,
29684,CA,38.82,2034,0,9,1896,
29685,CA,0.0,0,0,0,0,
29686,MN,8.03,491,0,2,462,
29687,MN,8.08,467,1,3,437,
29688,CA,9.31,342,0,2,335,
29689,CA,5.57,107,0,0,102,
29690,CT,0.0,0,0,0,0,
29691,CT,58.22,2952,1,17,2828,
29692,VA,16.15,612,1,6,571,
29693,VA,16.44,759,1,6,722,
29694,WA,23.69,887,1,6,763,
29695,WA,0.0,0,0,0,0,
29696,CA,39.44,1904,1,12,1775,
29697,MI,0.0,0,0,0,0,
29698,MI,28.94,966,1,10,890,
29699,MI,24.1,937,1,6,905,
29700,CA,40.77,1724,1,19,1671,
