,state,brand,spend,Impressions,leads,link_clicks,reach,agency,Agency Tiers
12031,CA,B2,20.6,856,1,8,832,Agency 3,4
12032,CA,B2,10.86,389,1,8,366,Agency 3,4
12033,CA,B2,11.79,510,1,1,488,Agency 3,4
12034,CA,B2,11.89,475,1,1,452,Agency 3,4
12035,CA,B2,17.3,649,1,6,609,Agency 3,4
12036,CA,B2,47.18,2176,1,23,2037,Agency 3,4
12037,CA,B2,7.95,344,0,10,322,Agency 3,4
12038,CA,B2,31.66,1979,1,12,1922,Agency 3,4
12039,CA,B2,21.68,1117,1,16,1099,Agency 3,4
12040,CA,B2,32.43,1511,1,11,1450,Agency 3,4
12041,CA,B2,31.52,2487,1,36,2341,Agency 3,4
12042,CA,B2,15.12,757,0,5,734,Agency 3,4
12043,CA,B2,12.96,556,0,13,534,Agency 3,4
12044,CA,B2,11.78,353,0,0,338,Agency 3,4
12045,CA,B2,11.91,364,1,2,351,Agency 3,4
12046,CA,B2,25.51,1188,0,7,1131,Agency 3,4
12047,CA,B2,25.29,1043,1,7,980,Agency 3,4
12048,CA,B2,14.14,427,1,3,398,Agency 3,4
12049,CA,B2,31.01,2152,1,48,2010,Agency 3,4
12050,CA,B2,34.39,2093,1,18,1961,Agency 3,4
12051,CA,B2,10.01,357,0,17,332,Agency 3,4
12052,CA,B2,18.28,660,1,6,624,Agency 3,4
12053,CA,B2,14.97,642,0,6,620,Agency 3,4
12054,CA,B2,14.82,710,1,29,664,Agency 3,4
12055,CA,B2,11.42,410,0,4,388,Agency 3,4
12056,CA,B2,11.76,461,0,2,435,Agency 3,4
12057,CA,B2,10.78,365,1,1,347,Agency 3,4
12058,CA,B2,10.34,373,1,3,350,Agency 3,4
12059,CA,B2,30.02,1250,1,11,1159,Agency 3,4
12060,CA,B2,13.82,394,1,2,377,Agency 3,4
12061,CA,B2,13.77,378,1,3,354,Agency 3,4
12062,CA,B2,46.41,1828,1,34,1704,Agency 3,4
12063,CA,B2,6.08,262,0,5,257,Agency 3,4
12064,CA,B2,8.07,323,0,4,311,Agency 3,4
12065,CA,B2,7.33,329,1,1,322,Agency 3,4
12066,CA,B2,30.41,1664,1,14,1593,Agency 3,4
12067,CA,B2,20.47,833,1,17,798,Agency 3,4
12068,CA,B2,7.34,301,1,4,293,Agency 3,4
12069,CA,B2,5.56,213,0,1,208,Agency 3,4
12070,CA,B2,17.2,650,0,4,623,Agency 3,4
12071,CA,B2,14.17,317,1,2,303,Agency 3,4
12072,CA,B2,14.0,329,0,1,324,Agency 3,4
12073,CA,B2,8.27,213,0,3,210,Agency 3,4
12074,CA,B2,4.06,102,0,0,99,Agency 3,4
12075,CA,B2,11.74,283,0,3,269,Agency 3,4
12076,CA,B2,11.18,308,0,3,296,Agency 3,4
12077,CA,B2,5.78,283,0,0,277,Agency 3,4
12078,CA,B2,11.97,266,1,2,252,Agency 3,4
12079,CA,B2,35.97,1793,1,13,1699,Agency 3,4
12080,CA,B2,11.53,363,0,4,342,Agency 3,4
12081,CA,B2,11.05,404,1,3,377,Agency 3,4
12082,CA,B2,20.41,596,0,5,575,Agency 3,4
12083,CA,B2,11.05,361,1,18,329,Agency 3,4
12084,CA,B2,21.06,896,0,9,867,Agency 3,4
12085,CA,B2,29.58,1579,1,7,1515,Agency 3,4
12086,CA,B2,7.95,315,0,8,297,Agency 3,4
12087,CA,B2,15.68,643,1,15,624,Agency 3,4
12088,CA,B2,13.93,640,1,11,613,Agency 3,4
12089,CA,B2,26.39,981,1,13,907,Agency 3,4
12090,CA,B2,26.17,1122,1,16,1041,Agency 3,4
12091,CA,B2,16.66,610,0,4,579,Agency 3,4
12092,CA,B2,6.08,195,0,0,190,Agency 3,4
12093,CA,B2,31.05,1205,1,7,1137,Agency 3,4
12094,CA,B2,45.03,1684,1,21,1589,Agency 3,4
12095,CA,B2,4.67,248,0,0,246,Agency 3,4
12096,CA,B2,6.28,284,0,1,275,Agency 3,4
12097,CA,B2,8.27,307,1,1,286,Agency 3,4
12098,CA,B2,3.46,123,0,0,120,Agency 3,4
12099,CA,B2,30.1,2013,1,48,1896,Agency 3,4
12100,CA,B2,6.09,300,0,1,295,Agency 3,4
12101,CA,B2,17.29,700,1,5,675,Agency 3,4
12102,CA,B2,31.6,2140,1,44,2045,Agency 3,4
12103,CA,B2,30.27,1892,1,9,1841,Agency 3,4
12104,CA,B2,7.86,367,0,8,352,Agency 3,4
12105,CA,B2,4.2,212,1,6,211,Agency 3,4
12106,CA,B2,15.87,747,1,13,734,Agency 3,4
12107,CA,B2,35.52,1767,0,18,1687,Agency 3,4
12108,CA,B2,31.38,1449,1,14,1398,Agency 3,4
12109,CA,B2,2.13,93,1,2,92,Agency 3,4
12110,CA,B2,2.2,93,0,0,92,Agency 3,4
12111,CA,B2,8.8,335,0,3,313,Agency 3,4
12112,CA,B2,10.1,414,1,2,396,Agency 3,4
12113,CA,B2,9.06,583,0,4,578,Agency 3,4
12114,CA,B2,7.78,478,1,3,462,Agency 3,4
12115,CA,B2,6.42,359,1,3,352,Agency 3,4
12116,CA,B2,15.76,803,1,8,795,Agency 3,4
12117,CA,B2,36.09,1721,1,16,1671,Agency 3,4
12118,CA,B2,1.24,46,0,1,46,Agency 3,4
12119,CA,B2,10.62,350,1,2,341,Agency 3,4
12120,CA,B2,2.66,134,0,2,134,Agency 3,4
12121,CA,B2,10.53,344,0,1,337,Agency 3,4
12122,CA,B2,6.68,222,0,0,218,Agency 3,4
12123,CA,B2,16.47,475,0,3,456,Agency 3,4
12124,CA,B2,19.37,780,0,2,759,Agency 3,4
12125,CA,B2,2.75,82,0,0,80,Agency 3,4
12126,CA,B2,10.02,345,1,11,319,Agency 3,4
12127,CA,B2,2.46,110,0,1,108,Agency 3,4
12128,CA,B2,15.56,839,0,9,822,Agency 3,4
12129,CA,B2,47.27,2181,1,20,2109,Agency 3,4
12130,CA,B2,9.75,380,0,0,376,Agency 3,4
12131,CA,B2,6.92,257,0,2,252,Agency 3,4
12132,CA,B2,30.86,2102,1,52,1985,Agency 3,4
12133,CA,B2,17.54,813,1,6,789,Agency 3,4
12134,CA,B2,5.91,207,0,2,201,Agency 3,4
12135,CA,B2,31.52,1595,1,8,1523,Agency 3,4
12136,CA,B2,36.45,2104,1,18,1990,Agency 3,4
12137,CA,B2,6.84,246,0,1,241,Agency 3,4
12138,CA,B2,16.84,575,0,5,563,Agency 3,4
12139,CA,B2,9.91,369,0,0,360,Agency 3,4
12140,CA,B2,6.93,259,0,1,246,Agency 3,4
12141,CA,B2,7.76,275,0,2,266,Agency 3,4
12142,CA,B2,16.13,554,1,3,537,Agency 3,4
12143,CA,B2,9.69,353,1,16,333,Agency 3,4
12144,CA,B2,14.12,835,1,4,817,Agency 3,4
12145,CA,B2,7.82,347,0,1,331,Agency 3,4
12146,CA,B2,11.73,441,1,7,411,Agency 3,4
12147,CA,B2,11.77,432,0,8,422,Agency 3,4
12148,CA,B2,9.09,484,0,1,475,Agency 3,4
12149,CA,B2,6.62,327,0,2,318,Agency 3,4
12150,CA,B2,8.07,426,0,3,414,Agency 3,4
12151,CA,B2,12.56,641,1,22,605,Agency 3,4
12152,CA,B2,5.13,238,0,0,230,Agency 3,4
12153,CA,B2,8.5,526,0,4,516,Agency 3,4
12154,CA,B2,16.06,948,1,10,932,Agency 3,4
12155,CA,B2,36.19,1850,1,20,1795,Agency 3,4
12156,CA,B2,47.79,2288,1,38,2165,Agency 3,4
12157,CA,B2,9.7,537,1,5,533,Agency 3,4
12158,CA,B2,30.27,1989,0,14,1923,Agency 3,4
12159,CA,B2,9.2,538,0,6,528,Agency 3,4
12160,CA,B2,8.55,334,0,8,331,Agency 3,4
12161,CA,B2,15.85,818,1,6,802,Agency 3,4
12162,CA,B2,35.76,1782,1,22,1734,Agency 3,4
12163,CA,B2,4.97,194,0,1,190,Agency 3,4
12164,CA,B2,18.3,895,0,11,881,Agency 3,4
12165,CA,B2,5.08,309,0,6,303,Agency 3,4
12166,CA,B2,36.66,2004,1,26,1907,Agency 3,4
12167,CA,B2,47.29,1849,1,23,1764,Agency 3,4
12168,CA,B2,7.76,274,0,7,268,Agency 3,4
12169,CA,B2,15.61,647,0,3,622,Agency 3,4
12170,CA,B2,11.83,460,0,6,445,Agency 3,4
12171,CA,B2,12.02,394,0,3,380,Agency 3,4
12172,CA,B2,7.17,248,0,1,240,Agency 3,4
12173,CA,B2,9.58,384,0,2,376,Agency 3,4
12174,CA,B2,16.01,459,1,6,451,Agency 3,4
12175,CA,B2,6.89,223,1,3,221,Agency 3,4
12176,CA,B2,14.09,732,0,10,717,Agency 3,4
12177,CA,B2,11.87,458,0,9,443,Agency 3,4
12178,CA,B2,2.95,186,1,2,186,Agency 3,4
12179,CA,B2,30.44,1980,0,5,1929,Agency 3,4
12180,CA,B2,31.7,1553,1,5,1479,Agency 3,4
12181,CA,B2,5.21,280,1,0,276,Agency 3,4
12182,CA,B2,11.18,534,0,1,512,Agency 3,4
12183,CA,B2,17.88,736,1,8,707,Agency 3,4
12184,CA,B2,9.03,462,0,1,455,Agency 3,4
12185,CA,B2,8.25,374,1,6,361,Agency 3,4
12186,CA,B2,6.55,329,1,3,321,Agency 3,4
12187,CA,B2,3.53,120,0,0,120,Agency 3,4
12188,CA,B2,7.79,414,1,3,406,Agency 3,4
12189,CA,B2,2.48,155,0,1,154,Agency 3,4
12190,CA,B2,9.88,369,0,0,360,Agency 3,4
12191,CA,B2,31.18,2064,1,54,1987,Agency 3,4
12192,CA,B2,6.47,220,0,1,216,Agency 3,4
12193,CA,B2,17.49,582,0,3,567,Agency 3,4
12194,CA,B2,30.72,1934,0,12,1890,Agency 3,4
12195,CA,B2,16.79,722,0,17,705,Agency 3,4
12196,CA,B2,14.81,344,0,3,331,Agency 3,4
12197,CA,B2,36.18,1737,1,12,1685,Agency 3,4
12198,CA,B2,15.96,912,1,3,899,Agency 3,4
12199,CA,B2,31.71,1474,1,10,1411,Agency 3,4
12200,CA,B2,16.25,627,1,5,602,Agency 3,4
12201,CA,B2,7.28,217,0,2,214,Agency 3,4
12202,CA,B2,47.34,1944,1,26,1857,Agency 3,4
12203,CA,B2,12.03,574,1,4,557,Agency 3,4
12204,CA,B2,12.16,417,0,2,401,Agency 3,4
12205,CA,B2,18.5,810,0,6,785,Agency 3,4
12206,CA,B2,5.27,214,0,0,213,Agency 3,4
12207,CA,B2,5.51,290,1,4,283,Agency 3,4
12208,CA,B2,22.27,764,0,1,718,Agency 3,4
12209,CA,B2,11.36,523,1,3,503,Agency 3,4
12210,CA,B2,7.28,278,0,2,273,Agency 3,4
12211,CA,B2,10.11,337,0,2,333,Agency 3,4
12212,CA,B2,6.32,260,0,2,256,Agency 3,4
12213,CA,B2,9.01,450,1,2,442,Agency 3,4
12214,CA,B2,8.11,430,0,3,415,Agency 3,4
12215,CA,B2,32.33,1816,1,54,1738,Agency 3,4
12216,CA,B2,36.89,1575,0,15,1534,Agency 3,4
12217,CA,B2,17.17,505,0,5,496,Agency 3,4
12218,CA,B2,6.76,228,0,0,224,Agency 3,4
12219,CA,B2,47.03,1947,1,27,1819,Agency 3,4
12220,CA,B2,36.49,1868,1,10,1821,Agency 3,4
12221,CA,B2,15.81,957,0,4,944,Agency 3,4
12222,CA,B2,5.3,313,0,7,307,Agency 3,4
12223,CA,B2,5.15,244,0,0,237,Agency 3,4
12224,CA,B2,18.95,901,0,5,876,Agency 3,4
12225,CA,B2,31.73,1941,1,68,1843,Agency 3,4
12226,CA,B2,35.7,1678,1,19,1599,Agency 3,4
12227,CA,B2,11.65,404,0,4,394,Agency 3,4
12228,CA,B2,11.82,490,0,5,475,Agency 3,4
12229,CA,B2,17.92,504,1,2,490,Agency 3,4
12230,CA,B2,6.07,221,0,1,215,Agency 3,4
12231,CA,B2,20.58,926,0,2,860,Agency 3,4
12232,CA,B2,10.92,582,1,4,565,Agency 3,4
12233,CA,B2,8.5,262,1,4,257,Agency 3,4
12234,CA,B2,16.16,607,0,3,585,Agency 3,4
12235,CA,B2,16.28,520,1,3,507,Agency 3,4
12236,CA,B2,7.65,222,0,2,222,Agency 3,4
12237,CA,B2,13.94,418,0,12,412,Agency 3,4
12238,CA,B2,30.41,2169,1,12,2112,Agency 3,4
12239,CA,B2,16.47,649,0,22,626,Agency 3,4
12240,CA,B2,31.37,1614,1,13,1526,Agency 3,4
12241,CA,B2,9.96,479,0,4,470,Agency 3,4
12242,CA,B2,7.19,340,1,2,327,Agency 3,4
12243,CA,B2,8.18,477,1,4,458,Agency 3,4
12244,CA,B2,9.13,456,1,3,451,Agency 3,4
12245,CA,B2,6.81,298,0,1,297,Agency 3,4
12246,CA,B2,16.15,625,1,5,604,Agency 3,4
12247,CA,B2,6.86,257,0,1,250,Agency 3,4
12248,CA,B2,17.82,651,1,5,621,Agency 3,4
12249,CA,B2,6.09,252,0,0,248,Agency 3,4
12250,CA,B2,29.56,1706,1,11,1682,Agency 3,4
12251,CA,B2,0.07,2,0,0,2,Agency 3,4
12252,CA,B2,14.76,678,0,12,656,Agency 3,4
12253,CA,B2,13.34,568,1,8,545,Agency 3,4
12254,CA,B2,44.22,2168,1,49,2008,Agency 3,4
12255,CA,B2,9.73,348,0,0,337,Agency 3,4
12256,CA,B2,21.15,1073,1,5,1001,Agency 3,4
12257,CA,B2,4.9,296,0,1,286,Agency 3,4
12258,CA,B2,17.3,990,0,5,980,Agency 3,4
12259,CA,B2,5.0,317,0,2,311,Agency 3,4
12260,CA,B2,17.18,1020,1,6,1008,Agency 3,4
12261,CA,B2,26.46,1409,1,14,1379,Agency 3,4
12262,CA,B2,34.29,1899,0,22,1817,Agency 3,4
12263,CA,B2,7.47,341,1,2,338,Agency 3,4
12264,CA,B2,9.09,544,0,3,538,Agency 3,4
12265,CA,B2,6.4,322,1,1,319,Agency 3,4
12266,CA,B2,31.32,1572,1,12,1509,Agency 3,4
12267,CA,B2,7.23,288,0,2,283,Agency 3,4
12268,CA,B2,14.87,425,1,3,406,Agency 3,4
12269,CA,B2,6.83,269,1,3,262,Agency 3,4
12270,CA,B2,9.57,487,0,1,474,Agency 3,4
12271,CA,B2,11.46,437,0,4,426,Agency 3,4
12272,CA,B2,11.5,430,1,2,423,Agency 3,4
12273,CA,B2,30.32,2118,1,73,2030,Agency 3,4
12274,CA,B2,8.77,467,0,2,458,Agency 3,4
12275,CA,B2,8.09,332,0,1,325,Agency 3,4
12276,CA,B2,6.58,269,0,2,266,Agency 3,4
12277,CA,B2,32.11,1507,1,10,1443,Agency 3,4
12278,CA,B2,13.04,646,1,2,602,Agency 3,4
12279,CA,B2,7.73,288,0,2,281,Agency 3,4
12280,CA,B2,11.05,499,0,5,478,Agency 3,4
12281,CA,B2,5.73,180,0,1,177,Agency 3,4
12282,CA,B2,17.34,624,0,5,604,Agency 3,4
12283,CA,B2,6.82,228,1,3,226,Agency 3,4
12284,CA,B2,16.15,533,1,4,524,Agency 3,4
12285,CA,B2,46.09,1980,1,27,1897,Agency 3,4
12286,CA,B2,11.96,444,0,1,431,Agency 3,4
12287,CA,B2,11.35,438,0,2,418,Agency 3,4
12288,CA,B2,24.42,1241,0,9,1218,Agency 3,4
12289,CA,B2,24.54,1404,1,17,1383,Agency 3,4
12290,CA,B2,16.05,585,0,0,558,Agency 3,4
12291,CA,B2,7.5,324,0,7,314,Agency 3,4
12292,CA,B2,30.83,1875,1,50,1771,Agency 3,4
12293,CA,B2,28.88,1687,1,9,1664,Agency 3,4
12294,CA,B2,6.34,284,0,4,275,Agency 3,4
12295,CA,B2,14.97,791,0,18,761,Agency 3,4
12296,CA,B2,6.44,275,0,5,270,Agency 3,4
12297,CA,B2,17.21,931,0,5,924,Agency 3,4
12298,CA,B2,5.03,331,1,6,324,Agency 3,4
12299,CA,B2,5.08,249,0,1,247,Agency 3,4
12300,CA,B2,9.94,450,1,3,440,Agency 3,4
12301,CA,B2,6.84,248,1,3,241,Agency 3,4
12302,CA,B2,36.26,1924,1,18,1838,Agency 3,4
12303,CA,B2,35.62,1964,0,16,1859,Agency 3,4
12304,CA,B2,10.6,431,0,2,412,Agency 3,4
12305,CA,B2,12.65,639,0,2,604,Agency 3,4
12306,CA,B2,8.35,347,0,5,341,Agency 3,4
